RASTERVALU,id,0,1,2,3,4,5
2,20201,0.0129928588867187,0.0,0.9870071411132812,0.0,0.0,0.0
2,20203,0.1965408325195312,2.6702880859375e-05,0.3404579162597656,0.4629745483398437,0.0,0.0
2,20204,0.6280937194824219,0.0,0.357086181640625,0.0148200988769531,0.0,0.0
2,20205,0.7621192932128906,0.0,0.2163047790527343,0.021575927734375,0.0,0.0
2,20206,0.991912841796875,0.0,0.008087158203125,0.0,0.0,0.0
2,20335,0.2651748657226562,0.0,0.0020866394042968,0.7327384948730469,0.0,0.0
2,20336,0.0007781982421875,0.0,0.9827613830566406,0.0082244873046875,0.0082359313964843,0.0
2,20337,0.0,0.0,1.0,0.0,0.0,0.0
2,20338,0.0,0.0,1.0,0.0,0.0,0.0
2,20339,0.0,0.0,1.0,0.0,0.0,0.0
2,20340,0.074951171875,0.0,0.925048828125,0.0,0.0,0.0
2,20341,0.0782051086425781,0.0,0.917705535888672,0.00408935546875,0.0,0.0
2,20342,0.2312393188476562,0.0,0.7685775756835938,0.00018310546875,0.0,0.0
2,20343,0.0122184753417968,0.0,0.9867897033691406,0.0009918212890625,0.0,0.0
2,20344,0.10137939453125,0.0,0.0,0.89862060546875,0.0,0.0
2,20345,0.7162208557128906,0.0,0.0093040466308593,0.27447509765625,0.0,0.0
2,20346,0.0638275146484375,0.0,0.9215354919433594,0.0146369934082031,0.0,0.0
2,20347,0.0,0.0,1.0,0.0,0.0,0.0
2,20348,0.0,0.0,1.0,0.0,0.0,0.0
2,20349,0.0776939392089843,0.0,0.3373298645019531,0.5849761962890625,0.0,0.0
2,20350,0.1514129638671875,0.0,0.8241729736328125,0.0244140625,0.0,0.0
2,20351,0.0448760986328125,0.0,0.9551239013671876,0.0,0.0,0.0
2,20352,0.0191268920898437,0.0,0.9139137268066406,0.0669593811035156,0.0,0.0
2,20358,0.5065040588378906,0.0,0.2663040161132812,0.2271919250488281,0.0,0.0
2,20359,0.4209060668945312,0.0,0.2900657653808594,0.2890281677246094,0.0,0.0
2,20360,0.4220924377441406,0.0,0.5779075622558594,0.0,0.0,0.0
2,20361,0.622344970703125,0.0,0.377655029296875,0.0,0.0,0.0
2,20366,0.4041481018066406,0.0,0.0052986145019531,0.5905532836914062,0.0,0.0
2,20490,0.6911811828613281,0.0,0.0074729919433593,0.3013458251953125,0.0,0.0
2,20491,0.130157470703125,0.0,0.0003471374511718,0.8694953918457031,0.0,0.0
2,20492,0.6109199523925781,0.0,0.007904052734375,0.3811759948730469,0.0,0.0
2,20493,0.0261573791503906,0.0,0.2938423156738281,0.6800003051757812,0.0,0.0
